domain,country
nos.nl,nl
nu.nl,nl
ad.nl,nl
telegraaf.nl,nl
nltimes.nl,nl
rtl.de,de
n-tv.de,de
dw.com,de
lefigaro.fr,fr
lemonde.fr,fr
france24.com,fr
libero.it,it
repubblica.it,it
corriere.it,it
gazzetta.it,it
theguardian.com,uk
dailymail.co.uk,uk
the-sun.com,uk
bbc.co.uk,uk
skynews.com,uk
msn.com,us
nytimes.com,us
cnn.com,us
nbcnews.com,us
foxnews.com,us
nypost.com,us
apnews.com,us
cnbc.com,us
newsweek.com,us
cbsnews.com,us
wsj.com,us
washingtonpost.com,us
reuters.com,us
businessinsider.com,us
huffpost.com,us
buzzfeed.com,us
axios.com,us
bloomberg.com,us
latimes.com,us
msnbc.com,us
